 X,Y,Hinc_z
    0.48727E+00,    0.85409E-01,    0.81807E+00
    0.48861E+00,    0.81022E-01,    0.81710E+00
    0.49656E+00,    0.58592E-01,    0.81130E+00
    0.46387E+00,    0.18661E+00,    0.83464E+00
    0.45892E+00,    0.26000E+00,    0.83805E+00
    0.46694E+00,    0.16339E+00,    0.83251E+00
    0.49713E+00,    0.53528E-01,    0.81088E+00
    0.48891E+00,    0.75458E-01,    0.81688E+00
    0.46194E+00,    0.19133E+00,    0.83597E+00
    0.46525E+00,    0.16814E+00,    0.83368E+00
    0.45713E+00,    0.25000E+00,    0.83928E+00
    0.48966E+00,    0.70471E-01,    0.81634E+00
    0.46351E+00,    0.17288E+00,    0.83489E+00
    0.45895E+00,    0.21000E+00,    0.83803E+00
    0.49765E+00,    0.48458E-01,    0.81050E+00
    0.45997E+00,    0.19603E+00,    0.83733E+00
    0.46209E+00,    0.17827E+00,    0.83587E+00
    0.47354E+00,    0.12096E+00,    0.82788E+00
    0.49035E+00,    0.65476E-01,    0.81584E+00
    0.46069E+00,    0.18218E+00,    0.83684E+00
    0.49811E+00,    0.43383E-01,    0.81015E+00
    0.45795E+00,    0.20071E+00,    0.83872E+00
    0.49099E+00,    0.60474E-01,    0.81537E+00
    0.45635E+00,    0.21538E+00,    0.83981E+00
    0.47430E+00,    0.11084E+00,    0.82734E+00
    0.46939E+00,    0.13009E+00,    0.83080E+00
    0.45557E+00,    0.22000E+00,    0.84034E+00
    0.49222E+00,    0.55038E-01,    0.81448E+00
    0.47646E+00,    0.10115E+00,    0.82581E+00
    0.49853E+00,    0.38303E-01,    0.80985E+00
    0.45335E+00,    0.26000E+00,    0.84185E+00
    0.45801E+00,    0.18697E+00,    0.83868E+00
    0.46519E+00,    0.14438E+00,    0.83372E+00
    0.45588E+00,    0.20536E+00,    0.84013E+00
    0.47843E+00,    0.91419E-01,    0.82442E+00
    0.48103E+00,    0.82223E-01,    0.82256E+00
    0.46215E+00,    0.15383E+00,    0.83583E+00
    0.49212E+00,    0.50453E-01,    0.81455E+00
    0.45608E+00,    0.19163E+00,    0.84000E+00
    0.49890E+00,    0.33220E-01,    0.80958E+00
    0.45376E+00,    0.21000E+00,    0.84157E+00
    0.45900E+00,    0.16518E+00,    0.83799E+00
    0.49323E+00,    0.44993E-01,    0.81374E+00
    0.45410E+00,    0.19627E+00,    0.84134E+00
    0.45020E+00,    0.25000E+00,    0.84398E+00
    0.49921E+00,    0.28133E-01,    0.80935E+00
    0.48175E+00,    0.71842E-01,    0.82204E+00
    0.49305E+00,    0.40411E-01,    0.81387E+00
    0.45208E+00,    0.20089E+00,    0.84271E+00
    0.44948E+00,    0.22000E+00,    0.84447E+00
    0.49947E+00,    0.23043E-01,    0.80915E+00
    0.44788E+00,    0.26000E+00,    0.84554E+00
    0.48312E+00,    0.62006E-01,    0.82106E+00
    0.45372E+00,    0.17717E+00,    0.84160E+00
    0.49343E+00,    0.35383E-01,    0.81359E+00
    0.45001E+00,    0.20548E+00,    0.84411E+00
    0.49438E+00,    0.29891E-01,    0.81290E+00
    0.49968E+00,    0.17950E-01,    0.80900E+00
    0.46471E+00,    0.11361E+00,    0.83406E+00
    0.46230E+00,    0.12306E+00,    0.83573E+00
    0.46693E+00,    0.10411E+00,    0.83251E+00
    0.48428E+00,    0.52145E-01,    0.82023E+00
    0.45001E+00,    0.18639E+00,    0.84411E+00
    0.44520E+00,    0.25444E+00,    0.84734E+00
    0.44700E+00,    0.21180E+00,    0.84613E+00
    0.49983E+00,    0.12856E-01,    0.80888E+00
    0.49405E+00,    0.25317E-01,    0.81314E+00
    0.47079E+00,    0.84995E-01,    0.82982E+00
    0.48624E+00,    0.41688E-01,    0.81882E+00
    0.44339E+00,    0.25000E+00,    0.84854E+00
    0.45235E+00,    0.15571E+00,    0.84253E+00
    0.44253E+00,    0.26000E+00,    0.84912E+00
    0.49428E+00,    0.20279E-01,    0.81297E+00
    0.44351E+00,    0.22000E+00,    0.84846E+00
    0.49994E+00,    0.77606E-02,    0.80881E+00
    0.44912E+00,    0.16516E+00,    0.84471E+00
    0.49503E+00,    0.15754E-01,    0.81242E+00
    0.44410E+00,    0.20006E+00,    0.84807E+00
    0.43990E+00,    0.25455E+00,    0.85086E+00
    0.49999E+00,    0.26642E-02,    0.80877E+00
    0.44059E+00,    0.21393E+00,    0.85040E+00
    0.45271E+00,    0.13238E+00,    0.84228E+00
    0.46314E+00,    0.92461E-01,    0.83515E+00
    0.49460E+00,    0.10199E-01,    0.81274E+00
    0.44383E+00,    0.17855E+00,    0.84825E+00
    0.45526E+00,    0.11865E+00,    0.84055E+00
    0.48631E+00,    0.27406E-01,    0.81877E+00
    0.49999E+00,   -0.24324E-02,    0.80877E+00
    0.44953E+00,    0.14219E+00,    0.84443E+00
    0.43728E+00,    0.26000E+00,    0.85259E+00
    0.45697E+00,    0.10861E+00,    0.83938E+00
    0.46608E+00,    0.77269E-01,    0.83310E+00
    0.43670E+00,    0.25000E+00,    0.85296E+00
    0.43767E+00,    0.22000E+00,    0.85233E+00
    0.49467E+00,    0.51572E-02,    0.81268E+00
    0.47614E+00,    0.46364E-01,    0.82604E+00
    0.44012E+00,    0.18783E+00,    0.85071E+00
    0.49994E+00,   -0.75287E-02,    0.80880E+00
    0.46775E+00,    0.67088E-01,    0.83194E+00
    0.43470E+00,    0.25465E+00,    0.85428E+00
    0.44374E+00,    0.15496E+00,    0.84831E+00
    0.48677E+00,    0.17487E-01,    0.81843E+00
    0.45661E+00,    0.99303E-01,    0.83964E+00
    0.49470E+00,    0.11470E-03,    0.81266E+00
    0.44059E+00,    0.16638E+00,    0.85040E+00
    0.43480E+00,    0.21405E+00,    0.85421E+00
    0.45987E+00,    0.83793E-01,    0.83740E+00
    0.49984E+00,   -0.12624E-01,    0.80888E+00
    0.43579E+00,    0.19844E+00,    0.85356E+00
    0.43213E+00,    0.26000E+00,    0.85595E+00
    0.49525E+00,   -0.54301E-02,    0.81226E+00
    0.45051E+00,    0.11310E+00,    0.84378E+00
    0.45179E+00,    0.10820E+00,    0.84291E+00
    0.44917E+00,    0.11799E+00,    0.84468E+00
    0.46981E+00,    0.51751E-01,    0.83050E+00
    0.44777E+00,    0.12287E+00,    0.84562E+00
    0.45225E+00,    0.10404E+00,    0.84259E+00
    0.45529E+00,    0.93390E-01,    0.84053E+00
    0.45634E+00,    0.88428E-01,    0.83982E+00
    0.43662E+00,    0.17590E+00,    0.85302E+00
    0.43194E+00,    0.22000E+00,    0.85607E+00
    0.44552E+00,    0.12791E+00,    0.84713E+00
    0.44325E+00,    0.13740E+00,    0.84864E+00
    0.44440E+00,    0.13190E+00,    0.84787E+00
    0.49969E+00,   -0.17719E-01,    0.80899E+00
    0.43014E+00,    0.25000E+00,    0.85725E+00
    0.45827E+00,    0.78471E-01,    0.83850E+00
    0.42961E+00,    0.25476E+00,    0.85759E+00
    0.49460E+00,   -0.99699E-02,    0.81274E+00
    0.43179E+00,    0.20574E+00,    0.85617E+00
    0.44123E+00,    0.14152E+00,    0.84998E+00
    0.43996E+00,    0.14699E+00,    0.85082E+00
    0.45915E+00,    0.73476E-01,    0.83789E+00
    0.43823E+00,    0.15176E+00,    0.85196E+00
    0.48708E+00,    0.25954E-02,    0.81821E+00
    0.49948E+00,   -0.22811E-01,    0.80915E+00
    0.47133E+00,    0.36352E-01,    0.82944E+00
    0.45946E+00,    0.67868E-01,    0.83768E+00
    0.42914E+00,    0.21418E+00,    0.85789E+00
    0.43644E+00,    0.15650E+00,    0.85314E+00
    0.49516E+00,   -0.15430E-01,    0.81233E+00
    0.46073E+00,    0.63457E-01,    0.83681E+00
    0.42708E+00,    0.26000E+00,    0.85922E+00
    0.46206E+00,    0.58433E-01,    0.83589E+00
    0.44613E+00,    0.10934E+00,    0.84672E+00
    0.44483E+00,    0.11418E+00,    0.84758E+00
