 x,    y,    V
    0.10000E+01,    0.80000E+00,    0.00000E+00
    0.00000E+00,    0.85000E+00,    0.00000E+00
    0.50000E-01,    0.85000E+00,    0.64438E-01
    0.10000E+00,    0.85000E+00,    0.13316E+00
    0.15000E+00,    0.85000E+00,    0.20586E+00
    0.20000E+00,    0.85000E+00,    0.27884E+00
    0.25000E+00,    0.85000E+00,    0.34495E+00
    0.30000E+00,    0.85000E+00,    0.39769E+00
    0.35000E+00,    0.85000E+00,    0.43408E+00
    0.40000E+00,    0.85000E+00,    0.45605E+00
    0.45000E+00,    0.85000E+00,    0.46723E+00
    0.50000E+00,    0.85000E+00,    0.47063E+00
    0.55000E+00,    0.85000E+00,    0.46723E+00
    0.60000E+00,    0.85000E+00,    0.45605E+00
    0.65000E+00,    0.85000E+00,    0.43408E+00
    0.70000E+00,    0.85000E+00,    0.39769E+00
    0.75000E+00,    0.85000E+00,    0.34495E+00
    0.80000E+00,    0.85000E+00,    0.27884E+00
    0.85000E+00,    0.85000E+00,    0.20586E+00
    0.90000E+00,    0.85000E+00,    0.13316E+00
    0.95000E+00,    0.85000E+00,    0.64438E-01
    0.10000E+01,    0.85000E+00,    0.00000E+00
    0.00000E+00,    0.90000E+00,    0.00000E+00
    0.50000E-01,    0.90000E+00,    0.42786E-01
    0.10000E+00,    0.90000E+00,    0.87956E-01
    0.15000E+00,    0.90000E+00,    0.13452E+00
    0.20000E+00,    0.90000E+00,    0.18010E+00
    0.25000E+00,    0.90000E+00,    0.22135E+00
    0.30000E+00,    0.90000E+00,    0.25517E+00
    0.35000E+00,    0.90000E+00,    0.27999E+00
    0.40000E+00,    0.90000E+00,    0.29608E+00
    0.45000E+00,    0.90000E+00,    0.30483E+00
    0.50000E+00,    0.90000E+00,    0.30756E+00
    0.55000E+00,    0.90000E+00,    0.30483E+00
    0.60000E+00,    0.90000E+00,    0.29608E+00
    0.65000E+00,    0.90000E+00,    0.27999E+00
    0.70000E+00,    0.90000E+00,    0.25517E+00
    0.75000E+00,    0.90000E+00,    0.22135E+00
    0.80000E+00,    0.90000E+00,    0.18010E+00
    0.85000E+00,    0.90000E+00,    0.13452E+00
    0.90000E+00,    0.90000E+00,    0.87956E-01
    0.95000E+00,    0.90000E+00,    0.42786E-01
    0.10000E+01,    0.90000E+00,    0.00000E+00
    0.00000E+00,    0.95000E+00,    0.00000E+00
    0.50000E-01,    0.95000E+00,    0.20812E-01
    0.10000E+00,    0.95000E+00,    0.43090E-01
    0.15000E+00,    0.95000E+00,    0.65813E-01
    0.20000E+00,    0.95000E+00,    0.87839E-01
    0.25000E+00,    0.95000E+00,    0.10776E+00
    0.30000E+00,    0.95000E+00,    0.12431E+00
    0.35000E+00,    0.95000E+00,    0.13678E+00
    0.40000E+00,    0.95000E+00,    0.14514E+00
    0.45000E+00,    0.95000E+00,    0.14982E+00
    0.50000E+00,    0.95000E+00,    0.15131E+00
    0.55000E+00,    0.95000E+00,    0.14982E+00
    0.60000E+00,    0.95000E+00,    0.14514E+00
    0.65000E+00,    0.95000E+00,    0.13678E+00
    0.70000E+00,    0.95000E+00,    0.12431E+00
    0.75000E+00,    0.95000E+00,    0.10776E+00
    0.80000E+00,    0.95000E+00,    0.87839E-01
    0.85000E+00,    0.95000E+00,    0.65813E-01
    0.90000E+00,    0.95000E+00,    0.43090E-01
    0.95000E+00,    0.95000E+00,    0.20812E-01
    0.10000E+01,    0.95000E+00,    0.00000E+00
    0.00000E+00,    0.10000E+01,    0.00000E+00
    0.50000E-01,    0.10000E+01,    0.00000E+00
    0.10000E+00,    0.10000E+01,    0.00000E+00
    0.15000E+00,    0.10000E+01,    0.00000E+00
    0.20000E+00,    0.10000E+01,    0.00000E+00
    0.25000E+00,    0.10000E+01,    0.00000E+00
    0.30000E+00,    0.10000E+01,    0.00000E+00
    0.35000E+00,    0.10000E+01,    0.00000E+00
    0.40000E+00,    0.10000E+01,    0.00000E+00
    0.45000E+00,    0.10000E+01,    0.00000E+00
    0.50000E+00,    0.10000E+01,    0.00000E+00
    0.55000E+00,    0.10000E+01,    0.00000E+00
    0.60000E+00,    0.10000E+01,    0.00000E+00
    0.65000E+00,    0.10000E+01,    0.00000E+00
    0.70000E+00,    0.10000E+01,    0.00000E+00
    0.75000E+00,    0.10000E+01,    0.00000E+00
    0.80000E+00,    0.10000E+01,    0.00000E+00
    0.85000E+00,    0.10000E+01,    0.00000E+00
    0.90000E+00,    0.10000E+01,    0.00000E+00
    0.95000E+00,    0.10000E+01,    0.00000E+00
    0.10000E+01,    0.10000E+01,    0.00000E+00
