 X,Y,Hscat_real_z,Hscat_imag_z
    0.46179E+00,    0.22000E+00,   -0.13679E-01,   -0.34344E-01
    0.46575E+00,    0.18187E+00,    0.34425E-01,   -0.24698E-02
    0.46937E+00,    0.15847E+00,    0.68538E-02,   -0.42516E-02
    0.48638E+00,    0.90371E-01,   -0.29734E-04,    0.47416E-02
    0.48727E+00,    0.85409E-01,    0.62373E-02,    0.29643E-02
    0.48861E+00,    0.81022E-01,    0.57487E-02,   -0.45492E-02
    0.49656E+00,    0.58592E-01,   -0.60322E-02,   -0.28034E-01
    0.46387E+00,    0.18661E+00,    0.68453E-02,    0.29866E-01
    0.45892E+00,    0.26000E+00,    0.12310E+00,   -0.11773E+01
    0.46694E+00,    0.16339E+00,    0.79811E-02,    0.34891E-02
    0.49713E+00,    0.53528E-01,   -0.26177E-01,    0.89272E-02
    0.48891E+00,    0.75458E-01,   -0.19719E-02,   -0.22354E-02
    0.46194E+00,    0.19133E+00,   -0.23255E-01,    0.24179E-02
    0.46525E+00,    0.16814E+00,    0.10841E-02,    0.49329E-02
    0.45713E+00,    0.25000E+00,    0.10085E+01,   -0.73261E+00
    0.48966E+00,    0.70471E-01,   -0.15403E-04,    0.48757E-02
    0.46351E+00,    0.17288E+00,    0.76974E-03,   -0.19452E-02
    0.45895E+00,    0.21000E+00,   -0.21695E-01,   -0.28306E-01
    0.49765E+00,    0.48458E-01,    0.10370E-01,    0.27921E-01
    0.45997E+00,    0.19603E+00,    0.45323E-02,   -0.28046E-01
    0.46209E+00,    0.17827E+00,    0.86707E-02,   -0.28261E-02
    0.47354E+00,    0.12096E+00,    0.40783E-02,    0.42526E-03
    0.49035E+00,    0.65476E-01,    0.61180E-02,    0.30446E-02
    0.46069E+00,    0.18218E+00,    0.96296E-02,    0.43162E-02
    0.49811E+00,    0.43383E-01,    0.28957E-01,   -0.96853E-02
    0.45795E+00,    0.20071E+00,    0.36456E-01,   -0.49534E-03
    0.49099E+00,    0.60474E-01,    0.38994E-02,   -0.40726E-02
    0.45635E+00,    0.21538E+00,   -0.32363E-02,   -0.17055E-01
    0.47430E+00,    0.11084E+00,    0.19301E-02,    0.10035E-02
    0.46939E+00,    0.13009E+00,    0.24433E-02,    0.71745E-03
    0.45557E+00,    0.22000E+00,    0.20085E-01,   -0.26409E-01
    0.49222E+00,    0.55038E-01,   -0.37798E-02,   -0.18996E-02
    0.47646E+00,    0.10115E+00,    0.33917E-02,    0.48482E-03
    0.49853E+00,    0.38303E-01,   -0.84933E-02,   -0.27126E-01
    0.45335E+00,    0.26000E+00,    0.96376E+00,   -0.81130E+00
    0.45801E+00,    0.18697E+00,    0.21401E-02,    0.50519E-02
    0.46519E+00,    0.14438E+00,    0.38922E-02,    0.14125E-02
    0.45588E+00,    0.20536E+00,    0.11155E-01,    0.32029E-01
    0.47843E+00,    0.91419E-01,    0.16417E-02,    0.81293E-03
    0.48103E+00,    0.82223E-01,    0.31427E-02,    0.44548E-03
    0.46215E+00,    0.15383E+00,    0.38091E-02,    0.38044E-03
    0.49212E+00,    0.50453E-01,   -0.11002E-03,    0.44368E-02
    0.45608E+00,    0.19163E+00,    0.19487E-02,   -0.16549E-02
    0.49890E+00,    0.33220E-01,   -0.26396E-01,    0.10045E-01
    0.45376E+00,    0.21000E+00,   -0.18199E-01,    0.84136E-02
    0.45900E+00,    0.16518E+00,    0.36336E-02,    0.20113E-02
    0.49323E+00,    0.44993E-01,    0.72143E-02,    0.22290E-02
    0.45410E+00,    0.19627E+00,    0.86246E-02,   -0.85847E-03
    0.45020E+00,    0.25000E+00,    0.67444E-01,   -0.11280E+01
    0.49921E+00,    0.28133E-01,    0.11731E-01,    0.27803E-01
    0.48175E+00,    0.71842E-01,    0.13094E-02,    0.79976E-03
    0.49305E+00,    0.40411E-01,    0.33011E-02,   -0.39565E-02
    0.45208E+00,    0.20089E+00,    0.94055E-02,    0.70195E-02
    0.44948E+00,    0.22000E+00,    0.22524E-01,    0.14597E-01
    0.49947E+00,    0.23043E-01,    0.28317E-01,   -0.99835E-02
    0.44788E+00,    0.26000E+00,    0.73917E+00,    0.23633E+00
    0.48312E+00,    0.62006E-01,    0.25194E-02,    0.43137E-03
    0.45372E+00,    0.17717E+00,    0.51620E-02,    0.13581E-02
    0.49343E+00,    0.35383E-01,   -0.29017E-02,   -0.13191E-02
    0.45001E+00,    0.20548E+00,    0.10516E-02,    0.10513E-01
    0.49438E+00,    0.29891E-01,   -0.53466E-03,    0.62092E-02
    0.49968E+00,    0.17950E-01,   -0.94051E-02,   -0.26848E-01
    0.46471E+00,    0.11361E+00,    0.25885E-02,    0.87294E-03
    0.46230E+00,    0.12306E+00,    0.30382E-02,    0.10419E-02
    0.46693E+00,    0.10411E+00,    0.26903E-02,    0.92732E-03
    0.48428E+00,    0.52145E-01,    0.95435E-03,    0.84218E-03
    0.45001E+00,    0.18639E+00,    0.38549E-02,    0.18935E-02
    0.44520E+00,    0.25444E+00,   -0.59642E-01,   -0.11710E+00
    0.44700E+00,    0.21180E+00,   -0.21520E-02,    0.93716E-02
    0.49983E+00,    0.12856E-01,   -0.25845E-01,    0.11935E-01
    0.49405E+00,    0.25317E-01,    0.54446E-02,    0.22444E-02
    0.47079E+00,    0.84995E-01,    0.23088E-02,    0.86559E-03
    0.48624E+00,    0.41688E-01,    0.21930E-02,   -0.78970E-04
    0.44339E+00,    0.25000E+00,   -0.71767E+00,    0.50498E-01
