 X,Y,Ereal_x,Eimag_x,Ereal_y,Eimag_y
    0.44734E+01,   -0.30533E+01,   -0.32549E-18,   -0.39177E-18,    0.51946E-18,    0.33907E-19
    0.43978E+01,   -0.22945E+01,   -0.10237E-18,   -0.10408E-18,    0.87064E-19,    0.30981E-18
    0.44008E+01,   -0.22917E+01,   -0.48959E-19,   -0.70068E-20,    0.70401E-19,    0.30159E-18
    0.44716E+01,   -0.30495E+01,   -0.59956E-18,   -0.77603E-18,    0.26141E-18,   -0.75016E-19
    0.76385E+01,   -0.81372E+00,   -0.49643E-22,    0.18887E-21,    0.66612E-21,   -0.11831E-20
    0.67933E+01,   -0.25774E+01,    0.35110E-22,   -0.49425E-21,   -0.95819E-22,    0.11732E-20
    0.76373E+01,   -0.81134E+00,   -0.14477E-21,   -0.20324E-22,    0.84922E-21,   -0.77952E-21
    0.76352E+01,   -0.81539E+00,   -0.21008E-21,   -0.91662E-22,    0.67124E-21,   -0.12836E-20
    0.67906E+01,   -0.25803E+01,    0.35572E-21,   -0.10835E-20,    0.52410E-21,    0.68560E-21
    0.44018E+01,   -0.22878E+01,   -0.44822E-19,   -0.45537E-19,   -0.63609E-20,    0.22594E-18
    0.44747E+01,   -0.30554E+01,   -0.19203E-18,   -0.23227E-18,    0.35865E-18,   -0.15342E-18
    0.43960E+01,   -0.22960E+01,   -0.56846E-19,   -0.12242E-18,    0.11120E-18,    0.32038E-18
    0.43985E+01,   -0.22861E+01,    0.13248E-20,   -0.10803E-18,   -0.84040E-19,    0.14401E-18
    0.44001E+01,   -0.22838E+01,   -0.58515E-19,   -0.69139E-19,   -0.14876E-18,    0.17621E-18
    0.44745E+01,   -0.30506E+01,   -0.41374E-18,   -0.44347E-18,    0.26612E-18,   -0.11944E-18
    0.43999E+01,   -0.22954E+01,   -0.44792E-19,   -0.10452E-19,    0.61946E-19,    0.25864E-18
    0.43953E+01,   -0.22987E+01,   -0.56569E-19,   -0.11872E-18,    0.96902E-19,    0.25405E-18
    0.44678E+01,   -0.30315E+01,    0.21875E-19,   -0.38298E-18,   -0.33001E-18,    0.11369E-18
    0.43937E+01,   -0.22757E+01,    0.21714E-19,   -0.18218E-20,   -0.23482E-18,   -0.47546E-19
    0.76362E+01,   -0.82361E+00,   -0.41085E-21,    0.43555E-22,    0.61914E-21,   -0.49220E-21
    0.44762E+01,   -0.30456E+01,   -0.94071E-19,   -0.20584E-18,    0.11973E-19,    0.85406E-19
    0.44778E+01,   -0.30475E+01,   -0.17625E-18,   -0.18832E-18,    0.98780E-19,    0.68719E-19
    0.44771E+01,   -0.30435E+01,   -0.68819E-19,   -0.12186E-18,    0.66529E-19,    0.27046E-18
    0.43972E+01,   -0.22814E+01,   -0.28939E-19,   -0.70524E-19,   -0.20595E-18,    0.13853E-18
    0.43996E+01,   -0.22816E+01,   -0.37354E-19,   -0.40498E-19,   -0.19080E-18,    0.12408E-18
    0.43967E+01,   -0.22789E+01,   -0.91158E-20,   -0.40304E-19,   -0.26818E-18,    0.46859E-19
    0.44010E+01,   -0.22790E+01,   -0.36379E-19,   -0.43231E-19,   -0.18382E-18,    0.10964E-18
    0.44689E+01,   -0.30339E+01,   -0.71973E-19,   -0.33570E-18,   -0.17856E-18,    0.41135E-19
    0.44801E+01,   -0.30466E+01,   -0.14113E-19,   -0.74635E-19,    0.14440E-18,    0.10012E-18
    0.44754E+01,   -0.30415E+01,   -0.10756E-18,   -0.16704E-18,    0.12337E-18,    0.33864E-18
    0.44770E+01,   -0.30500E+01,   -0.11747E-18,   -0.25448E-18,    0.27384E-18,   -0.10619E-18
    0.44797E+01,   -0.30440E+01,   -0.15112E-19,   -0.72191E-19,    0.64020E-19,    0.26220E-18
    0.67955E+01,   -0.25765E+01,   -0.22473E-21,    0.20678E-21,   -0.12859E-21,    0.12621E-20
    0.67962E+01,   -0.25731E+01,   -0.20662E-21,    0.20299E-21,    0.49695E-22,    0.12242E-20
    0.76349E+01,   -0.81238E+00,   -0.26365E-21,   -0.25151E-21,    0.82068E-21,   -0.83553E-21
    0.67882E+01,   -0.25790E+01,    0.53808E-21,   -0.94358E-21,    0.34690E-21,    0.54905E-21
    0.67917E+01,   -0.25752E+01,    0.18916E-21,   -0.51682E-21,   -0.23050E-21,    0.11930E-20
    0.76343E+01,   -0.81822E+00,   -0.18305E-21,    0.16281E-21,    0.70654E-21,   -0.95536E-21
    0.67900E+01,   -0.25827E+01,    0.37648E-21,   -0.11110E-20,    0.82494E-21,    0.28316E-21
    0.67867E+01,   -0.25838E+01,   -0.10502E-21,   -0.88715E-21,    0.68816E-21,    0.34744E-21
    0.44016E+01,   -0.22938E+01,   -0.44980E-19,    0.21281E-20,    0.56770E-19,    0.25932E-18
