 X,Y,Htot_real_z,Htot_imag_z
    0.30664E+01,   -0.15086E+01,    0.00000E+00,    0.00000E+00
    0.34241E+01,   -0.10089E+01,   -0.36042E-01,   -0.23182E+00
    0.36842E+01,   -0.79954E+00,    0.35037E+00,    0.34892E-01
    0.34655E+01,   -0.96698E+00,    0.53852E-01,   -0.24951E+00
    0.33888E+01,   -0.10399E+01,   -0.97338E-01,   -0.19721E+00
    0.37816E+01,   -0.73774E+00,    0.30785E+00,    0.24146E+00
    0.32458E+01,   -0.12026E+01,   -0.21162E+00,    0.66191E-01
    0.31017E+01,   -0.14237E+01,    0.00000E+00,    0.00000E+00
    0.35047E+01,   -0.92659E+00,    0.14263E+00,   -0.23664E+00
    0.29368E+01,   -0.18496E+01,    0.00000E+00,    0.00000E+00
    0.31633E+01,   -0.13161E+01,   -0.12043E+00,    0.19575E+00
    0.33500E+01,   -0.10709E+01,   -0.14760E+00,   -0.14668E+00
    0.39325E+01,   -0.65161E+00,    0.00000E+00,    0.00000E+00
    0.38700E+01,   -0.68032E+00,    0.00000E+00,    0.00000E+00
    0.38124E+01,   -0.70767E+00,    0.25684E+00,    0.32076E+00
    0.35451E+01,   -0.87974E+00,    0.23342E+00,   -0.18525E+00
    0.33107E+01,   -0.11016E+01,   -0.18244E+00,   -0.87533E-01
    0.37121E+01,   -0.75879E+00,    0.34005E+00,    0.14371E+00
    0.31252E+01,   -0.13482E+01,   -0.69614E-01,    0.21057E+00
    0.31956E+01,   -0.12397E+01,   -0.18039E+00,    0.12961E+00
    0.30268E+01,   -0.15350E+01,    0.00000E+00,    0.00000E+00
    0.41262E+01,   -0.56778E+00,    0.00000E+00,    0.00000E+00
    0.35798E+01,   -0.84413E+00,    0.29111E+00,   -0.12046E+00
    0.30545E+01,   -0.14605E+01,    0.00000E+00,    0.00000E+00
    0.36229E+01,   -0.80184E+00,    0.33387E+00,   -0.17622E-01
    0.30980E+01,   -0.13747E+01,   -0.29217E-01,    0.21142E+00
    0.38892E+01,   -0.64789E+00,    0.00000E+00,    0.00000E+00
    0.37347E+01,   -0.72901E+00,    0.31370E+00,    0.22458E+00
    0.30003E+01,   -0.15635E+01,    0.00000E+00,    0.00000E+00
    0.31601E+01,   -0.12666E+01,   -0.14725E+00,    0.16284E+00
    0.38255E+01,   -0.67459E+00,    0.19369E+00,    0.38768E+00
    0.32663E+01,   -0.11227E+01,   -0.19390E+00,   -0.30255E-01
    0.34121E+01,   -0.96134E+00,    0.19011E-01,   -0.22722E+00
    0.39595E+01,   -0.60751E+00,    0.00000E+00,    0.00000E+00
    0.33779E+01,   -0.99232E+00,   -0.44667E-01,   -0.20585E+00
    0.32299E+01,   -0.11584E+01,   -0.19834E+00,    0.31957E-01
    0.36628E+01,   -0.75962E+00,    0.34272E+00,    0.97746E-01
    0.46389E+01,   -0.46956E+00,    0.00000E+00,    0.00000E+00
    0.33436E+01,   -0.10216E+01,   -0.97723E-01,   -0.17086E+00
    0.30214E+01,   -0.14880E+01,    0.00000E+00,    0.00000E+00
    0.35021E+01,   -0.87047E+00,    0.20847E+00,   -0.18709E+00
    0.34524E+01,   -0.91025E+00,    0.11854E+00,   -0.22295E+00
    0.39084E+01,   -0.61546E+00,    0.00000E+00,    0.00000E+00
    0.38460E+01,   -0.64418E+00,    0.11936E+00,    0.44082E+00
    0.31171E+01,   -0.12991E+01,   -0.99444E-01,    0.18732E+00
    0.31914E+01,   -0.11903E+01,   -0.18476E+00,    0.85722E-01
    0.33043E+01,   -0.10521E+01,   -0.14176E+00,   -0.12099E+00
    0.28380E+01,   -0.22595E+01,    0.00000E+00,    0.00000E+00
    0.30499E+01,   -0.14112E+01,    0.29692E-01,    0.19242E+00
    0.29120E+01,   -0.17340E+01,    0.00000E+00,    0.00000E+00
    0.35326E+01,   -0.83164E+00,    0.26854E+00,   -0.12862E+00
    0.29554E+01,   -0.16019E+01,    0.00000E+00,    0.00000E+00
    0.37715E+01,   -0.67373E+00,    0.22321E+00,    0.35826E+00
    0.40160E+01,   -0.56030E+00,    0.00000E+00,    0.00000E+00
    0.32637E+01,   -0.10819E+01,   -0.16944E+00,   -0.64166E-01
    0.29883E+01,   -0.15155E+01,    0.00000E+00,    0.00000E+00
    0.36889E+01,   -0.71776E+00,    0.31553E+00,    0.20423E+00
    0.35628E+01,   -0.79840E+00,    0.30855E+00,   -0.60250E-01
    0.30784E+01,   -0.13306E+01,   -0.51869E-01,    0.19477E+00
    0.31513E+01,   -0.12175E+01,   -0.15799E+00,    0.12626E+00
    0.38652E+01,   -0.61175E+00,    0.30167E-01,    0.48225E+00
    0.36133E+01,   -0.75547E+00,    0.33558E+00,    0.57226E-01
    0.30103E+01,   -0.14409E+01,    0.70273E-01,    0.16296E+00
    0.32238E+01,   -0.11099E+01,   -0.17988E+00,   -0.87108E-02
    0.30511E+01,   -0.13632E+01,   -0.10652E-01,    0.19208E+00
    0.37152E+01,   -0.68490E+00,    0.27019E+00,    0.28935E+00
    0.33660E+01,   -0.94530E+00,    0.29005E-02,   -0.20306E+00
    0.33986E+01,   -0.91448E+00,    0.65223E-01,   -0.21168E+00
    0.31133E+01,   -0.12493E+01,   -0.12241E+00,    0.15705E+00
    0.29552E+01,   -0.15429E+01,    0.00000E+00,    0.00000E+00
    0.33330E+01,   -0.97400E+00,   -0.51389E-01,   -0.17961E+00
    0.28396E+01,   -0.19086E+01,    0.00000E+00,    0.00000E+00
    0.38175E+01,   -0.61977E+00,    0.80456E-01,    0.45777E+00
    0.34572E+01,   -0.85521E+00,    0.18351E+00,   -0.18191E+00
    0.31829E+01,   -0.11414E+01,   -0.17594E+00,    0.46222E-01
    0.32986E+01,   -0.10028E+01,   -0.97548E-01,   -0.14399E+00
    0.36391E+01,   -0.71581E+00,    0.32340E+00,    0.15482E+00
    0.29772E+01,   -0.14684E+01,    0.98287E-01,    0.13002E+00
    0.34835E+01,   -0.82688E+00,    0.23234E+00,   -0.14697E+00
    0.34232E+01,   -0.87672E+00,    0.12904E+00,   -0.19949E+00
    0.30132E+01,   -0.13926E+01,    0.31287E-01,    0.17356E+00
    0.39429E+01,   -0.55127E+00,    0.00000E+00,    0.00000E+00
    0.31457E+01,   -0.11742E+01,   -0.15965E+00,    0.92488E-01
    0.32588E+01,   -0.10324E+01,   -0.13375E+00,   -0.95597E-01
    0.38905E+01,   -0.57046E+00,   -0.95072E-01,    0.50756E+00
    0.30723E+01,   -0.12771E+01,   -0.80919E-01,    0.17119E+00
    0.35142E+01,   -0.78827E+00,    0.28179E+00,   -0.82843E-01
    0.28869E+01,   -0.16595E+01,    0.00000E+00,    0.00000E+00
    0.30456E+01,   -0.13137E+01,   -0.42361E-01,    0.17913E+00
    0.45150E+01,   -0.40989E+00,    0.00000E+00,    0.00000E+00
    0.29154E+01,   -0.15730E+01,    0.00000E+00,    0.00000E+00
    0.32188E+01,   -0.10606E+01,   -0.15368E+00,   -0.44278E-01
    0.29441E+01,   -0.14959E+01,    0.11770E+00,    0.92197E-01
    0.36735E+01,   -0.67037E+00,    0.27329E+00,    0.26974E+00
    0.35461E+01,   -0.75163E+00,    0.31208E+00,   -0.37744E-02
    0.31042E+01,   -0.12019E+01,   -0.13036E+00,    0.12500E+00
    0.27780E+01,   -0.21348E+01,    0.00000E+00,    0.00000E+00
    0.28324E+01,   -0.17942E+01,    0.00000E+00,    0.00000E+00
    0.37683E+01,   -0.60929E+00,    0.95501E-01,    0.43586E+00
    0.29726E+01,   -0.14190E+01,    0.64751E-01,    0.14332E+00
    0.40527E+01,   -0.48525E+00,    0.00000E+00,    0.00000E+00
    0.35899E+01,   -0.71202E+00,    0.32149E+00,    0.10388E+00
    0.38471E+01,   -0.56586E+00,   -0.84307E-01,    0.49742E+00
    0.31792E+01,   -0.10882E+01,   -0.15866E+00,    0.50760E-02
    0.33529E+01,   -0.89910E+00,    0.41334E-01,   -0.19183E+00
    0.30057E+01,   -0.13437E+01,   -0.16599E-03,    0.16795E+00
    0.33218E+01,   -0.92668E+00,   -0.10479E-01,   -0.17845E+00
    0.37073E+01,   -0.63361E+00,    0.19917E+00,    0.36090E+00
    0.33828E+01,   -0.86888E+00,    0.98166E-01,   -0.19120E+00
    0.34115E+01,   -0.84120E+00,    0.15133E+00,   -0.17784E+00
    0.32881E+01,   -0.95546E+00,   -0.58371E-01,   -0.15211E+00
    0.30702E+01,   -0.12276E+01,   -0.10046E+00,    0.14367E+00
    0.29075E+01,   -0.15293E+01,    0.12931E+00,    0.45790E-01
    0.34389E+01,   -0.81099E+00,    0.20254E+00,   -0.14927E+00
    0.28756E+01,   -0.16031E+01,    0.00000E+00,    0.00000E+00
    0.28476E+01,   -0.16819E+01,    0.00000E+00,    0.00000E+00
    0.31357E+01,   -0.11253E+01,   -0.15052E+00,    0.57826E-01
    0.32543E+01,   -0.98298E+00,   -0.95580E-01,   -0.11725E+00
    0.34651E+01,   -0.78327E+00,    0.24447E+00,   -0.11038E+00
    0.27738E+01,   -0.19744E+01,    0.00000E+00,    0.00000E+00
    0.36178E+01,   -0.67074E+00,    0.29446E+00,    0.20127E+00
